titulo,isbn
A random title,213123-3213-3213
Harry Potter e os Talismas da Morte,978-972-23-3835-6
Harry Potter e a Ordem da Fénix,972-23-3100-0
Harry Potter e o Calice de Fogo,972-23-2680-5
Beautiful Creatures,9780141326085
The Hunger Games,978-0-439-02348-1
Catching Fire,978-0-439-02349-8
Mockingjay,9780545663267
Divergent,978-0-06-202403-9
Allegiant,978-0-06-202406-0
The Fault in Our Stars,978-0-525-47881-2
To Kill a Mockingbird,978-0-06-112008-4
The Great Gatsby,978-0-7432-7356-5
Moby Dick,978-0-14-243724-7
War and Peace,9781400079988
Sombra de Antepassados Esquecidos,9726624649
Flowers For Algernon,9780156030083
Cosmos,9789896163181
Oliver Twist,978-1-84466-149-7
Misery,9789722527118
The Stand,9781444720730

