"titulo","ano_publicacao","paginas","linguagem","autores","pais","autor_principal","autor_data_nasciment","autor_local_nascimento","autor_idade_na_publicacao","categoria_tamanho_livro","media_anos_entre_publicacoes","decada_publicacao"
"THE NEW COSMOS",2013,571,"Ingles","Albrecht Unsöld,Bodo Baschek","PT","Albrecht Unsöld","1905-04-20","Alemanha",108,"Longo","Autor de livro único",2010
"MISERY",2014,366,"Portugues","Stephen King","PT","Stephen King","1947-09-21","Estados Unidos",67,"Médio","3.0",2010
"HARRY POTTER E OS TALISMÃS DA MORTE",2007,608,"Portugues","J. K. Rowling","PT","J. K. Rowling","1965-07-31","Reino Unido",42,"Longo","2.5",2000
"HARRY POTTER E A ORDEM DA FÉNIX",2003,750,"Portugues","J. K. Rowling","PT","J. K. Rowling","1965-07-31","Reino Unido",38,"Longo","2.5",2000
"HARRY POTTER E O CÁLICE DE FOGO",2002,591,"Portugues","J. K. Rowling","PT","J. K. Rowling","1965-07-31","Reino Unido",37,"Longo","2.5",2000
"BEAUTIFUL CREATURES",2010,538,"Ingles","Kami Garcia,Margaret Stohl","PT","Kami Garcia","1972-03-25","Estados Unidos",38,"Longo","Autor de livro único",2010
"THE HUNGER GAMES",2008,374,"Ingles","Suzanne Collins","PT","Suzanne Collins","1962-08-10","Estados Unidos",46,"Médio","1.0",2000
"CATCHING FIRE",2009,499,"Ingles","Suzanne Collins","PT","Suzanne Collins","1962-08-10","Estados Unidos",47,"Longo","1.0",2000
"MOCKINGJAY",2010,390,"Ingles","Suzanne Collins","PT","Suzanne Collins","1962-08-10","Estados Unidos",48,"Médio","1.0",2010
"DIVERGENT",2012,576,"Ingles","Veronica Roth","PT","Veronica Roth","1988-08-19","Estados Unidos",24,"Longo","1.0",2010
"ALLEGIANT",2013,544,"Ingles","Veronica Roth","PT","Veronica Roth","1988-08-19","Estados Unidos",25,"Longo","1.0",2010
"THE FAULT IN OUR STARS",2012,337,"Ingles","John Green","PT","John Green","1977-08-24","Estados Unidos",35,"Médio","Autor de livro único",2010
"TO KILL A MOCKINGBIRD",2006,346,"Ingles","Harper Lee","PT","Harper Lee","1926-04-28","Estados Unidos",80,"Médio","Autor de livro único",2000
"THE GREAT GATSBY",2004,208,"Ingles","F. Scott Fitzgerald","PT","F. Scott Fitzgerald","1896-09-24","Estados Unidos",108,"Médio","Autor de livro único",2000
"MOBY-DICK",2002,724,"Ingles","Herman Melville","PT","Herman Melville","1819-08-01","Estados Unidos",183,"Longo","Autor de livro único",2000
"WAR AND PEACE",2008,1298,"Ingles","Leo Tolstoy","PT","Leo Tolstoy","1828-08-28","Império Russo",180,"Longo","Autor de livro único",2000
"SOMBRAS DE ANTEPASSADOS ESQUECIDOS: EM BUSCA DO QUE SOMOS",,432,"Portugues","Carl Sagan,Ann Druyan,Jorge Branco,Lucinda Santos Silva,Luís Narciso","PT","Carl Sagan","1934-11-09","Estados Unidos",,"Longo","Erro nos dados",
"FLOWERS FOR ALGERNON",2004,326,"Ingles","Daniel Keyes","PT","Daniel Keyes","1927-08-09","Estados Unidos",77,"Médio","Autor de livro único",2000
"OLIVER TWIST",2003,128,"Ingles","Charles Dickens","PT","Charles Dickens","1812-02-07","Reino Unido da Grã-Bretanha e Irlanda",191,"Curto","Autor de livro único",2000
"THE STAND",2011,0,"Ingles","Stephen King","PT","Stephen King","1947-09-21","Estados Unidos",64,"Curto","3.0",2010
